t,pre,post,drop_pct,since_prev_s,recovery_s,r1_drop,r2_ping,r3_slow,anomalous
2021-11-05 06:49:10+00:00,228.78193333333328,222.24673333333334,0.02856519264778752,160.0,0.0,0,1,0,1
2021-11-05 07:10:30+00:00,222.65599166666667,228.8602777777778,-0.02786489626741976,1280.0,0.0,0,0,0,0
2021-11-05 07:14:40+00:00,223.45485000000005,217.42627777777778,0.026978927609860627,250.0,0.0,0,0,0,0
2021-11-05 07:34:30+00:00,223.00586666666663,228.3478666666667,-0.02395452675684498,1190.0,0.0,0,0,0,0
2021-11-05 07:37:50+00:00,223.82737499999996,217.06078333333335,0.030231296179328442,200.0,0.0,0,1,0,1
2021-11-05 07:58:30+00:00,229.81181666666672,237.2012055555556,-0.032154085878042124,1240.0,0.0,0,0,0,0
2021-11-05 08:03:00+00:00,234.57695833333332,227.3504888888889,0.03080639077166154,270.0,0.0,0,0,0,0
2021-11-05 08:22:30+00:00,228.8534666666667,234.57871111111112,-0.025017075458085382,1170.0,0.0,0,0,0,0
2021-11-05 08:26:20+00:00,225.76264999999998,221.93482222222218,0.016955097655780526,230.0,0.0,0,1,0,1
2021-11-05 08:46:30+00:00,230.01125000000002,237.9271388888889,-0.034415224859170465,1210.0,0.0,0,0,0,0
2021-11-05 08:49:50+00:00,236.83904166666665,231.54435555555554,0.022355630532245534,200.0,0.0,0,1,0,1
2021-11-05 09:10:40+00:00,224.3175083333334,233.92267777777775,-0.04281952628580012,1250.0,0.0,0,0,0,0
2021-11-05 09:15:00+00:00,226.47636666666665,220.34738333333334,0.02706235279001139,260.0,0.0,0,0,0,0
2021-11-05 09:34:30+00:00,222.00040833333335,231.37046666666663,-0.04220739233625257,1170.0,0.0,0,0,0,0
2021-11-05 09:37:40+00:00,231.13069999999993,221.34907222222222,0.042320763869869805,190.0,0.0,1,1,0,1
2021-11-05 09:58:30+00:00,222.997375,234.8829,-0.05329894578355463,1250.0,0.0,0,0,0,0
2021-11-05 10:03:50+00:00,225.85208333333333,220.1782388888889,0.02512194866969832,320.0,0.0,0,0,0,0
2021-11-05 10:22:30+00:00,232.47179166666663,233.4375111111111,-0.004154136024508178,1120.0,0.0,0,0,0,0
2021-11-05 10:25:10+00:00,235.47223333333338,230.33991111111112,0.021795870152371492,160.0,0.0,0,1,0,1
2021-11-05 10:46:30+00:00,216.5035833333333,233.4812777777778,-0.07841761407849446,1280.0,0.0,0,0,0,0
2021-11-05 10:50:50+00:00,224.69164166666664,217.06685,0.033934469525030854,260.0,0.0,0,0,0,0
2021-11-05 11:10:30+00:00,223.38749999999996,234.59186666666665,-0.05015664111316295,1180.0,0.0,0,0,0,0
2021-11-05 11:12:40+00:00,236.35530000000003,226.64308333333332,0.041091596704904455,130.0,0.0,0,1,0,1
2021-11-05 11:34:30+00:00,212.1755666666667,229.1345277777778,-0.07992890688376987,1310.0,0.0,0,0,0,0
2021-11-05 11:39:10+00:00,214.206,210.71197777777778,0.01631150491686607,280.0,0.0,0,0,0,0
2021-11-05 11:58:30+00:00,218.84194166666666,229.2287777777778,-0.047462730553414885,1160.0,0.0,0,0,0,0
2021-11-05 12:00:50+00:00,230.1022,221.39255555555556,0.037851200225136696,140.0,0.0,0,1,0,1
2021-11-05 12:22:30+00:00,214.74083333333328,223.33250555555557,-0.04000949464923511,1300.0,0.0,0,0,0,0
2021-11-05 12:26:40+00:00,218.674275,213.01779444444443,0.025867151294113405,250.0,0.0,0,0,0,0
2021-11-05 12:46:30+00:00,220.55722500000002,225.59247777777776,-0.022829688656890484,1190.0,0.0,0,0,0,0
2021-11-05 12:49:30+00:00,221.89553333333333,213.20989444444444,0.039142919005229586,180.0,0.0,0,1,0,1
2021-11-05 13:10:30+00:00,217.01804166666668,227.77627222222222,-0.0495729777714973,1260.0,0.0,0,0,0,0
2021-11-05 13:13:40+00:00,225.04442499999996,213.28073888888886,0.05227272842289295,190.0,0.0,1,1,0,1
2021-11-05 13:34:30+00:00,216.87542499999998,229.03507222222223,-0.056067427751310454,1250.0,0.0,0,0,0,0
2021-11-05 13:38:10+00:00,226.50235833333338,216.62545555555553,0.04360618074997015,220.0,0.0,1,1,0,1
2021-11-05 13:58:30+00:00,226.16735833333334,238.35466666666667,-0.05388623903618865,1220.0,0.0,0,0,0,0
2021-11-05 14:02:20+00:00,234.20142499999997,224.5958222222222,0.041014279813958276,230.0,0.0,0,1,0,1
2021-11-05 14:22:30+00:00,225.62375833333329,238.81823888888889,-0.05848001404205964,1210.0,0.0,0,0,0,0
2021-11-05 14:27:00+00:00,229.7861333333333,221.31155,0.03688030783406701,270.0,0.0,0,0,0,0
2021-11-05 14:46:30+00:00,230.4773916666667,241.54261111111114,-0.048009999438243245,1170.0,0.0,0,0,0,0
2021-11-05 15:15:10+00:00,221.90487499999998,214.17926666666665,0.034814955432292,1720.0,0.0,0,0,0,0
2021-11-05 15:20:40+00:00,214.37875,215.7672333333333,-0.006476776888256471,330.0,0.0,0,0,0,0
2021-11-05 15:22:40+00:00,218.23945833333332,210.29363333333333,0.03640874597417547,120.0,0.0,0,1,0,1
2021-11-05 15:25:50+00:00,210.08808333333332,205.91250555555558,0.01987536709139571,190.0,0.0,0,1,0,1
2021-11-05 15:27:10+00:00,203.78750000000005,212.54169444444446,-0.04295746522453245,80.0,0.0,0,0,0,0
2021-11-05 15:34:30+00:00,217.557775,227.7522555555555,-0.046858727781875484,440.0,0.0,0,0,0,0
2021-11-05 15:38:20+00:00,223.44152499999998,215.9151666666667,0.03368379415300398,230.0,0.0,0,1,0,1
2021-11-05 15:55:30+00:00,214.7124916666667,204.1760388888889,0.0490723790497259,1030.0,0.0,1,0,0,1
2021-11-05 15:57:30+00:00,200.66030833333332,224.5782388888889,-0.11919612181510031,120.0,0.0,0,0,0,0
2021-11-05 15:58:30+00:00,205.57168333333334,230.47618888888888,-0.12114754888285381,60.0,0.0,0,0,0,0
2021-11-05 16:11:20+00:00,221.93541666666667,223.00048333333336,-0.004798993701245798,770.0,0.0,0,0,0,0
2021-11-05 16:22:20+00:00,229.9066916666667,240.46195,-0.04591105311817977,660.0,0.0,0,0,0,0
2021-11-05 16:26:00+00:00,238.42113333333336,231.23270000000002,0.030150151678388696,220.0,0.0,0,1,0,1
2021-11-05 16:46:30+00:00,222.96543333333332,233.10342777777774,-0.045468906515603764,1230.0,0.0,0,0,0,0
2021-11-05 16:50:50+00:00,222.75136666666666,217.4706611111111,0.02370672573002795,260.0,0.0,0,0,0,0
2021-11-05 17:10:30+00:00,224.1203916666667,229.71591111111113,-0.024966578912491873,1180.0,0.0,0,0,0,0
2021-11-05 17:14:10+00:00,228.71594166666668,224.21989444444444,0.019657778069422188,220.0,0.0,0,1,0,1
2021-11-05 17:34:30+00:00,220.51319999999998,234.47443333333337,-0.06331246081111418,1220.0,0.0,0,0,0,0
2021-11-05 17:39:20+00:00,220.38174166666667,217.50683333333333,0.01304512938137005,290.0,0.0,0,0,0,0
2021-11-05 17:45:00+00:00,214.9544666666667,210.28833333333336,0.0217075430238404,340.0,0.0,0,0,0,0
2021-11-05 17:46:40+00:00,208.93475,217.05562777777777,-0.03886800916447725,100.0,0.0,0,0,0,0
2021-11-05 17:58:30+00:00,218.1282,234.44898333333333,-0.07482197777881695,710.0,0.0,0,0,0,0
2021-11-05 18:02:20+00:00,233.6748583333333,227.9787055555556,0.024376404112984397,230.0,0.0,0,1,0,1
2021-11-05 18:22:30+00:00,217.22429999999997,225.10445555555555,-0.03627658395287993,1210.0,0.0,0,0,0,0
2021-11-05 18:25:40+00:00,221.77640000000005,212.4184611111111,0.04219537736607209,190.0,0.0,1,1,0,1
2021-11-05 18:46:30+00:00,225.12294166666666,235.11243333333337,-0.04437349473452543,1250.0,0.0,0,0,0,0
2021-11-05 18:49:50+00:00,232.4366916666667,229.6826777777777,0.011848447287481011,200.0,0.0,0,1,0,1
2021-11-05 19:10:30+00:00,220.98125833333333,231.08055555555555,-0.04570205318945284,1240.0,0.0,0,0,0,0
2021-11-05 19:15:10+00:00,218.61461666666665,213.84249444444444,0.021828925691178815,280.0,0.0,0,0,0,0
2021-11-05 19:34:00+00:00,218.9881833333333,231.05405555555555,-0.05509827990972537,1130.0,0.0,0,0,0,0
2021-11-05 19:39:50+00:00,223.00485,219.28750000000002,0.016669368401628852,350.0,0.0,0,0,0,0
2021-11-05 19:56:00+00:00,222.26531666666665,221.68731666666667,0.002600495698871482,970.0,0.0,0,0,0,0
2021-11-05 19:57:20+00:00,214.8771,236.30594444444446,-0.0997260501209503,80.0,0.0,0,0,0,0
2021-11-05 19:58:30+00:00,219.35486666666665,240.55503333333334,-0.09664780630959342,70.0,0.0,0,0,0,0
2021-11-05 20:02:30+00:00,236.8917,229.4898722222222,0.031245618895798303,240.0,0.0,0,0,0,0
2021-11-05 20:22:30+00:00,223.92985,237.77317222222226,-0.061819905752726896,1200.0,0.0,0,0,0,0
2021-11-05 20:28:00+00:00,224.88610000000003,227.09741111111114,-0.00983302707953544,330.0,0.0,0,0,0,0
2021-11-05 20:46:50+00:00,231.82324166666663,236.20650555555554,-0.018907784471375397,1130.0,0.0,0,0,0,0
2021-11-05 20:50:20+00:00,231.2778083333333,224.6898111111111,0.028485211225830694,210.0,0.0,0,1,0,1
2021-11-05 21:10:30+00:00,222.437375,234.0307166666667,-0.052119575978032934,1210.0,0.0,0,0,0,0
2021-11-05 21:16:50+00:00,217.38705833333333,218.6200166666667,-0.005671719111460556,380.0,0.0,0,0,0,0
2021-11-05 21:34:20+00:00,215.54584166666666,229.73660555555554,-0.06583640760202811,1050.0,0.0,0,0,0,0
2021-11-05 21:38:20+00:00,224.93193333333332,217.18970000000002,0.034420338715801004,240.0,0.0,0,0,0,0
2021-11-05 21:58:30+00:00,217.96873333333335,232.7944611111111,-0.06801768102723796,1210.0,0.0,0,0,0,0
2021-11-05 22:02:50+00:00,223.79888333333335,216.8750833333333,0.030937598511997594,260.0,0.0,0,0,0,0
2021-11-05 22:22:20+00:00,229.07347500000006,231.8882611111111,-0.01228769987931179,1170.0,0.0,0,0,0,0
2021-11-05 22:24:40+00:00,233.59168333333335,223.9845333333333,0.04112796253234207,140.0,0.0,0,1,0,1
2021-11-05 22:46:20+00:00,224.150575,236.37286111111112,-0.05452712361371867,1300.0,0.0,0,0,0,0
2021-11-05 22:51:20+00:00,225.86806666666666,220.6842722222222,0.02295054153048841,300.0,0.0,0,0,0,0
2021-11-05 23:05:50+00:00,210.9389,213.94306111111106,-0.014241854447477796,870.0,0.0,0,0,0,0
2021-11-05 23:07:10+00:00,208.86319166666667,223.6481611111111,-0.0707878172619347,80.0,0.0,0,0,0,0
2021-11-05 23:10:30+00:00,226.25765833333332,236.98242222222223,-0.0474006668675439,200.0,0.0,0,0,0,0
2021-11-05 23:13:20+00:00,237.12363333333337,225.01344444444445,0.051071201628667656,170.0,0.0,1,1,0,1
2021-11-05 23:34:30+00:00,216.66694166666665,232.69386666666665,-0.07397032919150529,1270.0,0.0,0,0,0,0
2021-11-05 23:38:40+00:00,225.5575,211.90726666666671,0.060517754157291555,250.0,0.0,1,0,0,1
